Address,Description,Floor Area,Link,Price,Sqm,Price / Sqm
"81 Park Avenue, Sandymount","Detached House, 5 Beds, 3 Baths","Overall Floor Area: 316.98 Sq. Metres (3,412 Sq. Feet)",/dublin/houses-for-sale/sandymount/81-park-avenue-sandymount-dublin-1497253/,4600000,316.98,14511.956590321155
"25 Raglan Road, Ballsbridge","Terraced House, 5 Beds, 4 Baths","Overall Floor Area: 404 Sq. Metres (4,349 Sq. Feet)",/dublin/houses-for-sale/ballsbridge/25-raglan-road-ballsbridge-dublin-1323447/,4150000,404.0,10272.277227722772
"16 Wellington Road, Ballsbridge","End of Terrace House, 4 Beds, 4 Baths","Overall Floor Area: 303 Sq. Metres (3,261 Sq. Feet)",/dublin/houses-for-sale/ballsbridge/16-wellington-road-ballsbridge-dublin-1476379/,3750000,303.0,12376.237623762376
"10 Greenfield Crescent, Donnybrook","Detached House, 5 Beds, 5 Baths","Overall Floor Area: 373 Sq. Metres (4,015 Sq. Feet)",/dublin/houses-for-sale/donnybrook/10-greenfield-crescent-donnybrook-dublin-1433586/,3000000,373.0,8042.8954423592495
"Ballsbridge, Ballsbridge","Detached House, 5 Beds, 4 Baths","Overall Floor Area: 185.8 Sq. Metres (2,000 Sq. Feet)",/dublin/houses-for-sale/ballsbridge/ballsbridge-ballsbridge-dublin-1443333/,3000000,185.8,16146.393972012916
"57 Wellington Road, Ballsbridge","Terraced House, 4 Beds, 2 Baths",,/dublin/houses-for-sale/ballsbridge/57-wellington-road-ballsbridge-dublin-1455480/,3000000,,
"3 Seaview Terrace, Off Ailesbury Road","Semi-Detached House, 6 Beds, 6 Baths","Overall Floor Area: 463.9 Sq. Metres (4,993 Sq. Feet)",/dublin/houses-for-sale/dublin-4/3-seaview-terrace-off-ailesbury-road-dublin-4-dublin-1403265/,2950000,463.9,6359.129122655745
"61 Wellington Road, Ballsbridge","Terraced House, 3 Beds, 3 Baths","Overall Floor Area: 285.95 Sq. Metres (3,078 Sq. Feet)",/dublin/houses-for-sale/ballsbridge/61-wellington-road-ballsbridge-dublin-1433306/,2950000,285.95,10316.488896660256
"40 Herbert Park, Ballsbridge","Detached House, 5 Beds, 3 Baths","Overall Floor Area: 300 Sq. Metres (3,229 Sq. Feet)",/dublin/houses-for-sale/ballsbridge/40-herbert-park-ballsbridge-dublin-1402520/,2800000,300.0,9333.333333333334
"22 Elgin Road, Ballsbridge","Detached House, 10 Beds, 8 Baths","Overall Floor Area: 418.02 Sq. Metres (4,500 Sq. Feet)",/dublin/houses-for-sale/ballsbridge/22-elgin-road-ballsbridge-dublin-1519146/,2750000,418.02,6578.632601310942
"10 Edward Square, Donnybrook","Terraced House, 4 Beds","Overall Floor Area: 400 Sq. Metres (4,306 Sq. Feet)",/dublin/houses-for-sale/donnybrook/10-edward-square-donnybrook-dublin-1485814/,2495000,400.0,6237.5
"Glendarragh, 70 Merrion Road, Ballsbridge","Semi-Detached House, 4 Beds, 3 Baths","Overall Floor Area: 202 Sq. Metres (2,174 Sq. Feet)",/dublin/houses-for-sale/ballsbridge/glendarragh-70-merrion-road-ballsbridge-dublin-1153738/,2300000,202.0,11386.138613861385
106 Upper Leeson Street,"Terraced House, 3 Beds, 2 Baths","Overall Floor Area: 183 Sq. Metres (1,970 Sq. Feet)",/dublin/houses-for-sale/dublin-4/106-upper-leeson-street-dublin-4-dublin-1511298/,1495000,183.0,8169.398907103825
"Merrion Road, Ballsbridge","Semi-Detached House, 4 Beds, 2 Baths",,/dublin/houses-for-sale/ballsbridge/merrion-road-ballsbridge-dublin-1428961/,1450000,,
"79 Tritonville Road, Sandymount","Terraced House, 5 Beds, 4 Baths","Overall Floor Area: 224 Sq. Metres (2,411 Sq. Feet)",/dublin/houses-for-sale/sandymount/79-tritonville-road-sandymount-dublin-1451495/,1400000,224.0,6250.0
"1 Sydney Parade Avenue, Ballsbridge","Semi-Detached House, 5 Beds, 2 Baths","Overall Floor Area: 195.1 Sq. Metres (2,100 Sq. Feet)",/dublin/houses-for-sale/ballsbridge/1-sydney-parade-avenue-ballsbridge-dublin-1403640/,1350000,195.1,6919.528446950282
"The Moorings, 9 Gilford Road, Sandymount","Semi-Detached House, 4 Beds, 3 Baths","Overall Floor Area: 184 Sq. Metres (1,981 Sq. Feet)",/dublin/houses-for-sale/sandymount/the-moorings-9-gilford-road-sandymount-dublin-1478306/,1300000,184.0,7065.217391304348
"Ardilea Crescent, Clonskeagh","Semi-Detached House, 4 Beds, 4 Baths","Overall Floor Area: 225 Sq. Metres (2,422 Sq. Feet)",/dublin/houses-for-sale/clonskeagh/ardilea-crescent-clonskeagh-dublin-1484837/,1175000,225.0,5222.222222222223
"1 Iveragh Court, Ballsbridge","End of Terrace House, 4 Beds, 3 Baths","Overall Floor Area: 130 Sq. Metres (1,399 Sq. Feet)",/dublin/houses-for-sale/ballsbridge/1-iveragh-court-ballsbridge-dublin-1516001/,1100000,130.0,8461.538461538461
"5 Strand Mews, Sandymount","Terraced House, 3 Beds, 3 Baths","Overall Floor Area: 122.82 Sq. Metres (1,322 Sq. Feet)",/dublin/houses-for-sale/sandymount/5-strand-mews-sandymount-dublin-1479134/,995000,122.82,8101.286435433969
"52 Orwell Park, Rathgar","Detached House, 5 Beds, 5 Baths","Overall Floor Area: 480 Sq. Metres (5,167 Sq. Feet)",/dublin/houses-for-sale/rathgar/52-orwell-park-rathgar-dublin-1423564/,3500000,480.0,7291.666666666667
"24 Northbrook Road, Ranelagh","Semi-Detached House, 5 Beds, 3 Baths","Overall Floor Area: 314.53 Sq. Metres (3,386 Sq. Feet)",/dublin/houses-for-sale/ranelagh/24-northbrook-road-ranelagh-dublin-1356785/,2100000,314.53,6676.628620481354
"82 Highfield Road, Rathgar","Semi-Detached House, 5 Beds, 2 Baths","Overall Floor Area: 261.98 Sq. Metres (2,820 Sq. Feet)",/dublin/houses-for-sale/rathgar/82-highfield-road-rathgar-dublin-1461867/,1850000,261.98,7061.607756317276
"39 Garville Avenue Upper, Rathgar","End of Terrace House, 11 Beds, 8 Baths","Overall Floor Area: 336 Sq. Metres (3,617 Sq. Feet)",/dublin/houses-for-sale/rathgar/39-garville-avenue-upper-rathgar-dublin-1520966/,1850000,336.0,5505.952380952381
"2 Green Park, Orwell Road, Rathgar","Detached House, 5 Beds, 2 Baths","Overall Floor Area: 230 Sq. Metres (2,476 Sq. Feet)",/dublin/houses-for-sale/rathgar/2-green-park-orwell-road-rathgar-dublin-1408019/,1775000,230.0,7717.391304347826
"60 Leinster Road, Rathmines","Terraced House, 5 Beds, 3 Baths","Overall Floor Area: 279 Sq. Metres (3,003 Sq. Feet)",/dublin/houses-for-sale/rathmines/60-leinster-road-rathmines-dublin-1422711/,1750000,279.0,6272.401433691756
"Lakelands, 113 Templeogue Road, Terenure","Detached House, 4 Beds, 3 Baths","Overall Floor Area: 269.97 Sq. Metres (2,906 Sq. Feet)",/dublin/houses-for-sale/terenure/lakelands-113-templeogue-road-terenure-dublin-1467694/,1695000,269.97,6278.475386154017
"Eagle Lodge, 36 Rathgar Avenue, Rathgar","Detached House, 4 Beds, 2 Baths","Overall Floor Area: 250 Sq. Metres (2,691 Sq. Feet)",/dublin/houses-for-sale/rathgar/eagle-lodge-36-rathgar-avenue-rathgar-dublin-1431911/,1395000,250.0,5580.0
"Dunmore, 66 Brighton Road, Rathgar","Semi-Detached House, 4 Beds, 4 Baths","Overall Floor Area: 209.96 Sq. Metres (2,260 Sq. Feet)",/dublin/houses-for-sale/rathgar/dunmore-66-brighton-road-rathgar-dublin-1448992/,1375000,209.96,6548.866450752524
"98 Lower Rathmines Road, Rathmines","Terraced House, 10 Beds, 8 Baths","Overall Floor Area: 347 Sq. Metres (3,735 Sq. Feet)",/dublin/houses-for-sale/rathmines/98-lower-rathmines-road-rathmines-dublin-1500667/,1300000,347.0,3746.397694524496
"46 Rathgar Avenue, Rathgar","End of Terrace House, 4 Beds, 3 Baths","Overall Floor Area: 197.97 Sq. Metres (2,131 Sq. Feet)",/dublin/houses-for-sale/rathgar/46-rathgar-avenue-rathgar-dublin-1520302/,1290000,197.97,6516.138808910441
"46 Edenvale Road, Ranelagh","Semi-Detached House, 3 Beds, 2 Baths","Overall Floor Area: 170 Sq. Metres (1,830 Sq. Feet)",/dublin/houses-for-sale/ranelagh/46-edenvale-road-ranelagh-dublin-1501951/,1200000,170.0,7058.823529411765
"23 Frankfort Avenue, Rathgar","Terraced House, 3 Beds, 3 Baths","Overall Floor Area: 187.94 Sq. Metres (2,023 Sq. Feet)",/dublin/houses-for-sale/rathgar/23-frankfort-avenue-rathgar-dublin-1467697/,1195000,187.94,6358.41225923167
"Ormond Road, Rathmines","End of Terrace House, 9 Beds, 8 Baths","Overall Floor Area: 203.61 Sq. Metres (2,192 Sq. Feet)",/dublin/houses-for-sale/rathmines/ormond-road-rathmines-dublin-1504371/,1175000,203.61,5770.836402927164
"130 Lr Rathmines Road, Rathmines","Terraced House, 13 Beds, 10 Baths","Overall Floor Area: 324 Sq. Metres (3,488 Sq. Feet)",/dublin/houses-for-sale/rathmines/130-lr-rathmines-road-rathmines-dublin-1506057/,1150000,324.0,3549.382716049383
"4 Bedroom Mews, Garville Drive, Rathgar","Detached House, 4 Beds","Overall Floor Area: 186 Sq. Metres (2,002 Sq. Feet)",/dublin/houses-for-sale/rathgar/4-bedroom-mews-garville-drive-rathgar-dublin-1418164/,1075000,186.0,5779.569892473119
"13 Kenilworth Road, Rathgar","Terraced House, 8 Beds, 7 Baths","Overall Floor Area: 200 Sq. Metres (2,153 Sq. Feet)",/dublin/houses-for-sale/rathgar/13-kenilworth-road-rathgar-dublin-1507592/,1050000,200.0,5250.0
"22 Dartry Park, Rathgar","Detached House, 4 Beds, 1 Bath","Overall Floor Area: 144 Sq. Metres (1,550 Sq. Feet)",/dublin/houses-for-sale/rathgar/22-dartry-park-rathgar-dublin-1493600/,1000000,144.0,6944.444444444444
"47 Fortfield Park, Terenure","Semi-Detached House, 5 Beds, 4 Baths","Overall Floor Area: 233 Sq. Metres (2,508 Sq. Feet)",/dublin/houses-for-sale/terenure/47-fortfield-park-terenure-dublin-1437665/,995000,233.0,4270.3862660944205
"68 Kenilworth Square, Rathgar","Terraced House, 7 Beds, 7 Baths","Overall Floor Area: 230 Sq. Metres (2,476 Sq. Feet)",/dublin/houses-for-sale/rathgar/68-kenilworth-square-rathgar-dublin-1507562/,995000,230.0,4326.086956521739
